id_alumno,id_curso,id_nota,nombre_alumno,apellido_alumno,email_alumno,direccion_alumno
1,1,1,SHANIE,AITON,SAITON0@SOGOU.COM,25 HANSONS ALLEY
2,3,2,DOUGLAS,GILBEE,DGILBEE1@DIGG.COM,867 ESKER AVENUE
3,3,3,RUBY,BERNI,RBERNI2@ABOUT.COM,1 SULLIVAN HILL
4,6,4,ONDREA,HAMBLING,OHAMBLING3@NEWYORKER.COM,921 GULSETH PLACE
5,4,5,ESSIE,COATES,ECOATES4@NYMAG.COM,4 REINDAHL TRAIL
6,5,6,ORRAN,GUMARY,OGUMARY5@ICQ.COM,6492 RUTLEDGE PARKWAY
7,6,7,MERRILY,BUSHER,MBUSHER6@MIITBEIAN.GOV.CN,15987 SCOVILLE WAY
8,2,8,SALAIDH,STOPFORTH,SSTOPFORTH0@KICKSTARTER.COM,7 ALGOMA DRIVE
9,1,9,ALDIN,DE BLASIIS,ADEBLASIIS1@ASK.COM,4 SCHLIMGEN POINT
10,4,10,ALBERT,CONQUEST,ACONQUEST2@YOUKU.COM,323 HIGH CROSSING PARK
